node,nodetype,political_affiliation
realDonaldTrump,campaign,republican
AdrianaCohen16,media,republican
AnnCoulter,media,republican
BarackObama,politician,democrat
BretEastonEllis,media,neutral
CBSNews,media,neutral
CLewandowski_,campaign,republican
Carl_C_Icahn,campaign,republican
DRUDGE_REPORT,media,republican
DanScavino,campaign,republican
DarrenJJordan,supporter,republican
DonaldJTrumpJr,family,neutral
EricTrump,family,neutral
ErinBurnett,media,neutral
FieldofFight,campaign,republican
FoxBusiness,media,republican
FoxNews,media,republican
GMA,media,neutral
GOP,organization,republican
GeraldoRivera,media,neutral
GovMikeHuckabee,politician,republican
IngrahamAngle,media,republican
IvankaTrump,family,neutral
JaniceTaylor912,supporter,republican
JoeNBC,media,neutral
JohnStossel,media,neutral
KellyannePolls,campaign,republican
LouDobbs,media,republican
MarkHalperin,media,neutral
Morning_Joe,media,neutral
NFIB,organization,neutral
NRA,organization,neutral
RSBNetwork,media,republican
RealBenCarson,politician,republican
Reince,campaign,republican
SarahPalinUSA,politician,republican
ScottAdamsSays,media,neutral
TeamTrump,campaign,republican
TomOdell,media,neutral
TrumpNV,campaign,republican
benshapiro,media,republican
dcexaminer,media,republican
dmartosko,media,republican
foxandfriends,media,republican
gatewaypundit,media,republican
greta,media,neutral
kevcirilli,media,neutral
mike_pence,campaign,republican
namusca,supporter,republican
newtgingrich,campaign,republican
piersmorgan,media,republican
robertjeffress,supporter,republican
rupertmurdoch,media,republican
seanhannity,media,republican
williebosshog,supporter,republican
