"","source","hour","n","percent"
"1","Android",0,13,0.0170603674540682
"2","Android",1,2,0.0026246719160105
"3","Android",2,3,0.00393700787401575
"4","Android",3,1,0.00131233595800525
"5","Android",4,9,0.0118110236220472
"6","Android",5,42,0.0551181102362205
"7","Android",6,81,0.106299212598425
"8","Android",7,75,0.0984251968503937
"9","Android",8,86,0.112860892388451
"10","Android",9,51,0.0669291338582677
"11","Android",10,31,0.0406824146981627
"12","Android",11,27,0.0354330708661417
"13","Android",12,10,0.0131233595800525
"14","Android",13,16,0.020997375328084
"15","Android",14,19,0.0249343832020997
"16","Android",15,26,0.0341207349081365
"17","Android",16,30,0.0393700787401575
"18","Android",17,29,0.0380577427821522
"19","Android",18,29,0.0380577427821522
"20","Android",19,36,0.047244094488189
"21","Android",20,33,0.0433070866141732
"22","Android",21,41,0.0538057742782152
"23","Android",22,53,0.0695538057742782
"24","Android",23,19,0.0249343832020997
"25","iPhone",0,10,0.0159235668789809
"26","iPhone",1,8,0.0127388535031847
"27","iPhone",2,1,0.00159235668789809
"28","iPhone",5,2,0.00318471337579618
"29","iPhone",6,3,0.00477707006369427
"30","iPhone",7,14,0.0222929936305732
"31","iPhone",8,23,0.036624203821656
"32","iPhone",9,21,0.0334394904458599
"33","iPhone",10,22,0.035031847133758
"34","iPhone",11,38,0.0605095541401274
"35","iPhone",12,39,0.0621019108280255
"36","iPhone",13,44,0.0700636942675159
"37","iPhone",14,48,0.0764331210191083
"38","iPhone",15,46,0.0732484076433121
"39","iPhone",16,63,0.10031847133758
"40","iPhone",17,54,0.0859872611464968
"41","iPhone",18,38,0.0605095541401274
"42","iPhone",19,23,0.036624203821656
"43","iPhone",20,36,0.0573248407643312
"44","iPhone",21,46,0.0732484076433121
"45","iPhone",22,35,0.0557324840764331
"46","iPhone",23,14,0.0222929936305732
